City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,christchurch,-43.5333,172.6333,16.34,55,75,3.09,NZ,1696729838
1,adamstown,-25.066,-130.1015,19.86,77,13,6.22,PN,1696729639
2,port-aux-francais,-49.35,70.2167,3.83,86,99,13.12,TF,1696729642
3,khairpur tamewah,29.5811,72.2364,29.2,47,0,4.24,PK,1696729954
4,kununurra,-15.7667,128.7333,32.99,13,8,7.2,AU,1696729954
5,puerto natales,-51.7236,-72.4875,3.27,80,100,11.74,CL,1696729637
6,grytviken,-54.2811,-36.5092,-0.14,90,100,4.8,GS,1696729639
7,hammerfest,70.6634,23.6821,2.25,93,100,0.51,NO,1696729737
8,port elizabeth,-33.918,25.5701,14.16,79,75,2.06,ZA,1696729682
9,hawaiian paradise park,19.5933,-154.9731,28.73,71,0,4.63,US,1696729659
10,voi,-3.3945,38.563,20.53,84,93,3.02,KE,1696729955
11,longyearbyen,78.2186,15.6401,-4.09,68,20,5.14,SJ,1696729649
12,saipan,15.1355,145.701,31.39,74,20,8.23,MP,1696729655
13,olonkinbyen,70.9221,-8.7187,1.3,72,100,6.44,SJ,1696729644
14,grand baie,-20.0182,57.5802,23.26,74,43,1.79,MU,1696729690
15,dunedin,-45.8742,170.5036,12.11,64,92,4.92,NZ,1696729574
16,antonio enes,-16.2325,39.9086,23.19,87,1,4.68,MZ,1696729957
17,port saint john's,-31.6229,29.5448,17.31,79,100,5.72,ZA,1696729653
18,shiyan,32.6475,110.7781,18.48,72,88,1.29,CN,1696729957
19,iqaluit,63.7506,-68.5145,-2.15,92,75,0.0,CA,1696729646
20,merizo village,13.2658,144.6691,28.88,93,53,6.63,GU,1696729957
21,nevers,46.9167,3.3333,11.82,48,9,0.73,FR,1696729958
22,hilo,19.7297,-155.09,31.27,69,0,4.63,US,1696729730
23,pisco,-13.7,-76.2167,18.9,88,0,8.23,PE,1696729650
24,sawakin,19.1059,37.3321,28.92,70,0,3.74,SD,1696729958
25,yellowknife,62.456,-114.3525,4.12,95,100,5.14,CA,1696729637
26,waitangi,-43.9535,-176.5597,11.57,74,100,8.32,NZ,1696729636
27,mashpee,41.6484,-70.4811,18.21,97,100,2.06,US,1696729959
28,crane,31.3974,-102.3501,19.66,42,0,3.51,US,1696729959
29,new gloucester,43.9628,-70.2825,16.32,86,100,4.63,US,1696729959
30,udachny,66.4167,112.4,1.36,86,100,6.7,RU,1696729651
31,businga,3.3333,20.8833,20.93,96,100,0.28,CD,1696729960
32,rio grande,-32.035,-52.0986,16.64,84,100,5.72,BR,1696729745
33,port moresby,-9.4431,147.1797,30.68,51,0,10.29,PG,1696729924
34,launceston,-41.45,147.1667,16.8,55,0,5.14,AU,1696729960
35,bereeda,11.8704,51.0579,26.85,71,6,1.64,SO,1696729960
36,namdrik,5.5994,168.1028,28.86,76,90,4.64,MH,1696729961
37,kotma,23.2,81.9667,22.66,68,100,1.14,IN,1696729961
38,wailua homesteads,22.0669,-159.378,28.24,81,75,5.14,US,1696729686
39,concordia,-31.393,-58.0209,14.88,53,0,0.89,AR,1696729961
40,laatzen,52.3167,9.8,12.16,96,75,2.06,DE,1696729961
41,tazovsky,67.4667,78.7,4.6,96,100,6.36,RU,1696729722
42,bethel,41.3712,-73.414,12.42,84,100,2.57,US,1696729661
43,ilulissat,69.2167,-51.1,3.01,81,100,1.03,GL,1696729644
44,nagqu,31.5,92.0,4.92,33,100,1.28,CN,1696729962
45,auki,-8.7676,160.7034,28.43,75,83,1.21,SB,1696729962
46,lebu,-37.6167,-73.65,9.45,77,26,6.21,CL,1696729710
47,timbuktu,16.7735,-3.0074,34.59,17,96,1.68,ML,1696729963
48,tateyama,34.9833,139.8667,20.61,55,96,5.82,JP,1696729712
49,blackmans bay,-43.0167,147.3167,15.85,54,5,2.17,AU,1696729638
50,tiksi,71.6872,128.8694,-7.71,90,100,1.35,RU,1696729646
51,nemuro,43.3236,145.575,12.69,56,6,5.3,JP,1696729698
52,jamestown,42.097,-79.2353,11.77,98,100,5.14,US,1696729670
53,invercargill,-46.4,168.35,11.68,64,68,7.15,NZ,1696729655
54,lihue,21.9789,-159.3672,28.58,76,75,5.14,US,1696729651
55,qaqortoq,60.7167,-46.0333,3.22,91,100,2.27,GL,1696729349
56,bilibino,68.0546,166.4372,-6.69,91,100,0.67,RU,1696729669
57,hermanus,-34.4187,19.2345,12.57,76,32,5.01,ZA,1696729693
58,isabela,6.7085,121.9711,31.03,70,98,2.89,PH,1696729965
59,umm kaddadah,13.6017,26.6876,30.83,37,97,4.69,SD,1696729965
60,badger,64.8,-147.5333,1.93,65,100,5.66,US,1696729592
61,ribeira grande,38.5167,-28.7,20.99,76,100,7.6,PT,1696729640
62,albany,42.6001,-73.9662,10.36,92,100,2.94,US,1696729458
63,abadeh,31.1608,52.6506,14.19,28,5,0.91,IR,1696729966
64,antofagasta,-23.65,-70.4,15.6,74,6,2.67,CL,1696729563
65,columbia falls,48.3725,-114.1815,15.82,72,0,0.0,US,1696729966
66,tsiombe,-25.3,45.4833,20.59,41,0,2.27,MG,1696729967
67,taltal,-25.4,-70.4833,15.61,73,0,1.68,CL,1696729821
68,caleta de carquin,-11.0925,-77.6267,18.99,89,100,5.64,PE,1696729967
69,naze,28.3667,129.4833,24.51,87,100,5.97,JP,1696729967
70,hadibu,12.65,54.0333,25.96,82,13,2.21,YE,1696729659
71,kodiak,57.79,-152.4072,10.73,66,75,4.12,US,1696729636
72,stanley,54.868,-1.6985,11.51,95,75,4.12,GB,1696729654
73,cavallino,40.3125,18.2004,20.8,100,75,1.03,IT,1696729968
74,semey,50.4111,80.2275,10.12,93,0,2.0,KZ,1696729968
75,enewetak,11.3474,162.3373,28.68,78,92,8.38,MH,1696729642
76,keflavik,64.0049,-22.5624,7.24,81,75,7.72,IS,1696729740
77,"laikit, laikit ii (dimembe)",1.4792,124.9735,31.47,52,20,1.54,ID,1696729969
78,al hazm,16.1641,44.7769,23.46,23,0,0.82,YE,1696729969
79,vernon,50.2581,-119.2691,18.75,64,12,0.51,CA,1696729752
80,freetown,8.484,-13.2299,26.84,83,75,2.06,SL,1696729699
81,afaahiti,-17.75,-149.2833,27.93,84,14,7.16,PF,1696729637
82,bubaque,11.2833,-15.8333,27.36,82,96,4.49,GW,1696729669
83,cestos city,5.46,-9.5828,24.78,90,100,2.37,LR,1696729970
84,xuddur,4.1213,43.8894,22.31,82,61,3.84,SO,1696729970
85,hamilton,39.1834,-84.5333,11.51,63,20,4.92,US,1696729531
86,utrik,11.2278,169.8474,28.33,82,34,9.89,MH,1696729653
87,papatowai,-46.5619,169.4708,10.37,58,94,6.57,NZ,1696729661
88,anadyr,64.75,177.4833,0.28,69,100,3.0,RU,1696729711
89,kurtamysh,54.9103,64.4319,10.31,79,100,3.13,RU,1696729971
90,tolanaro,-25.0319,46.9987,22.04,68,0,8.23,MG,1696729703
91,ushuaia,-54.8,-68.3,3.81,75,40,2.24,AR,1696729511
92,atafu village,-8.5421,-172.5159,29.25,74,91,5.73,TK,1696729641
93,edinburgh of the seven seas,-37.0676,-12.3116,12.41,77,100,7.52,SH,1696729648
94,iskateley,67.6803,53.1512,0.57,85,100,3.58,RU,1696729680
95,talnakh,69.4865,88.3972,2.34,96,97,4.12,RU,1696729662
96,uliastay,47.7417,96.8444,5.68,37,100,1.6,MN,1696729972
97,new norfolk,-42.7826,147.0587,16.51,35,4,1.69,AU,1696729690
98,cabo san lucas,22.8909,-109.9124,28.61,91,100,1.54,MX,1696729159
99,arraial do cabo,-22.9661,-42.0278,22.03,95,100,7.27,BR,1696729642
100,toliara,-23.35,43.6667,21.83,57,2,1.93,MG,1696729694
101,flin flon,54.7682,-101.865,7.48,83,4,2.4,CA,1696729973
102,puerto san jose,13.9256,-90.8244,27.39,81,100,1.16,GT,1696729973
103,kudymkar,59.0173,54.656,7.52,83,96,3.62,RU,1696729974
104,kailaras,26.3167,77.6167,25.11,55,0,3.3,IN,1696729974
105,puerto ayora,-0.7393,-90.3518,24.19,93,56,2.68,EC,1696729668
106,kotlas,61.2611,46.6556,6.38,94,100,3.87,RU,1696729975
107,dakhla,23.6848,-15.958,21.4,78,32,2.02,EH,1696729725
108,ancud,-41.8697,-73.8203,9.18,90,100,5.57,CL,1696729661
109,saint-pierre,-21.3393,55.4781,20.82,60,0,3.09,RE,1696729719
110,vilyuchinsk,52.9306,158.4028,11.15,67,100,0.73,RU,1696729638
111,weno,7.4515,151.8468,28.97,84,100,6.17,FM,1696729976
112,st. john's,47.5649,-52.7093,12.31,97,100,4.12,CA,1696729625
113,nantucket,41.2835,-70.0995,17.78,100,75,6.17,US,1696729976
114,dudinka,69.4058,86.1778,2.57,93,100,4.92,RU,1696729720
115,west island,-12.1568,96.8225,26.99,78,40,7.72,CC,1696729645
116,jalai nur,49.45,117.7,11.87,58,96,3.7,CN,1696729976
117,mo i rana,66.3128,14.1428,3.51,94,20,1.03,NO,1696729977
118,lompoc,34.6391,-120.4579,24.91,63,0,1.54,US,1696729678
119,ataq,14.5377,46.8319,22.33,23,0,1.42,YE,1696729977
120,portland,45.5234,-122.6762,27.33,50,0,2.57,US,1696729296
121,betio village,1.358,172.9211,32.02,69,99,4.71,KI,1696729978
122,avarua,-21.2078,-159.775,24.03,78,100,2.57,CK,1696729654
123,siluko,6.5386,5.1609,22.4,98,88,0.72,NG,1696729978
124,daru,-9.0763,143.2092,27.15,65,75,7.13,PG,1696729681
125,cuajinicuilapa,16.4667,-98.4167,26.01,92,100,3.44,MX,1696729978
126,harstad,68.799,16.5293,2.11,97,100,12.07,NO,1696729732
127,xinyuan,37.3,99.0,3.21,37,100,0.69,CN,1696729979
128,thompson,55.7435,-97.8558,6.09,100,100,0.0,CA,1696729650
129,erenhot,43.6475,111.9767,8.11,61,96,8.82,CN,1696729979
130,kraljevo,43.7258,20.6894,6.0,100,0,0.51,RS,1696729623
131,hasaki,35.7333,140.8333,24.05,54,91,6.66,JP,1696729698
132,marica,-22.9194,-42.8186,24.97,98,100,3.12,BR,1696729980
133,isafjordur,66.0755,-23.124,5.84,87,100,8.73,IS,1696729642
134,blenheim,-41.516,173.9528,10.22,71,100,3.17,NZ,1696729980
135,kavaratti,10.5669,72.642,27.37,61,61,1.66,IN,1696729645
136,necochea,-38.5473,-58.7368,10.06,57,0,4.0,AR,1696729638
137,karak city,31.1637,35.762,18.77,41,100,0.38,JO,1696729981
138,whitehorse,60.7161,-135.0538,12.43,69,40,6.17,CA,1696729647
139,minot,48.2325,-101.2963,13.12,62,0,4.63,US,1696729960
140,coahuayana de hidalgo,18.7,-103.6583,26.37,93,92,1.19,MX,1696729706
141,stansted mountfitchet,51.9,0.2,17.6,89,100,2.06,GB,1696729981
142,gizo,-8.103,156.8419,27.2,82,100,4.49,SB,1696729737
143,monterrey,25.6667,-100.3167,19.95,68,100,1.34,MX,1696729544
144,jinchang,38.4953,102.1739,11.43,40,0,2.42,CN,1696729982
145,indapur,18.3,73.25,24.62,89,16,0.79,IN,1696729982
146,dryden,49.7833,-92.7503,6.16,75,100,2.06,CA,1696729941
147,okhotsk,59.3833,143.3,3.4,40,98,1.17,RU,1696729982
148,carnarvon,-24.8667,113.6333,28.16,34,0,5.36,AU,1696729687
149,tanque verde,32.2517,-110.7373,31.8,21,0,5.66,US,1696729983
150,qalat,32.1058,66.9083,12.42,31,0,1.83,AF,1696729983
151,banda aceh,5.5577,95.3222,27.81,78,97,1.77,ID,1696729712
152,ilhabela,-23.7781,-45.3581,23.25,96,100,1.89,BR,1696729983
153,tabou,4.423,-7.3528,24.74,90,100,3.94,CI,1696729712
154,kudahuvadhoo,2.6708,72.8944,27.53,79,87,3.1,MV,1696729984
155,surskoye,54.4821,46.7214,8.14,82,100,8.94,RU,1696729984
156,georgetown,5.4112,100.3354,29.97,87,20,1.54,MY,1696729611
157,belmonte,-15.8631,-38.8828,24.42,86,56,3.64,BR,1696729984
158,okeho,8.0333,3.35,21.19,97,76,1.17,NG,1696729985
159,polyarnyy,69.1989,33.4478,0.73,74,100,0.97,RU,1696729437
160,lagoa,39.05,-27.9833,20.27,65,100,6.51,PT,1696729985
161,east london,-33.0153,27.9116,16.03,80,100,4.66,ZA,1696729697
162,tanout,14.9709,8.8879,28.13,36,28,4.78,NE,1696729985
163,college,64.8569,-147.8028,1.97,66,75,5.66,US,1696729473
164,tottori,35.5,134.2333,18.04,68,75,2.57,JP,1696729726
165,punta arenas,-53.15,-70.9167,4.06,87,100,5.14,CL,1696729692
166,turtas,58.9417,69.1325,7.64,97,95,2.82,RU,1696729986
167,aral,40.5156,81.2636,18.39,27,23,1.11,CN,1696729672
168,grants pass,42.439,-123.3284,29.73,41,0,0.0,US,1696729745
169,new martinsville,39.6445,-80.8576,8.39,92,39,1.79,US,1696729987
170,holualoa,19.6228,-155.9522,25.91,82,20,4.12,US,1696729703
171,san patricio,28.017,-97.5169,23.8,51,100,4.06,US,1696729670
172,westport,41.1415,-73.3579,14.2,85,100,4.63,US,1696729436
173,kalajoki,64.25,23.95,4.39,88,100,5.82,FI,1696729975
174,port mathurin,-19.6833,63.4167,23.17,81,64,9.41,MU,1696729668
175,mount isa,-20.7333,139.5,30.87,35,62,5.14,AU,1696729703
176,queenstown,-31.8976,26.8753,11.3,84,100,2.85,ZA,1696729511
177,acqui terme,44.6751,8.4675,20.37,88,0,1.02,IT,1696729988
178,la'ie,21.6477,-157.9253,30.98,68,97,1.79,US,1696729989
179,turrialba,9.9047,-83.6835,24.1,98,100,0.32,CR,1696729989
180,uturoa,-16.7333,-151.4333,26.82,81,0,6.69,PF,1696729724
181,margaret river,-33.95,115.0667,19.32,73,47,4.76,AU,1696729639
182,belvedere,33.531,-81.9448,17.33,48,0,4.12,US,1696729989
183,kerikeri,-35.2268,173.9474,13.28,92,73,1.34,NZ,1696729693
